2026-09-26T00:12:48.938Z  127.0.0.1  GET 200  29485B  1.6ms  target=/js/family.js  from=/js/hud.js
2026-09-26T00:12:48.939Z  127.0.0.1  GET 200  53095B  2.3ms  target=/js/contracts.js  from=/js/hud.js
2026-09-26T00:12:48.940Z  127.0.0.1  GET 200  7014B  2.2ms  target=/js/npc/chat.js  from=/js/hud.js
2026-09-26T00:12:48.941Z  127.0.0.1  GET 200  7907B  2.9ms  target=/js/holdview.js  from=/js/hud.js
2026-09-26T00:12:48.941Z  127.0.0.1  GET 200  9872B  1.0ms  target=/js/worldsync.js  from=/js/hud.js
2026-09-26T00:12:48.942Z  127.0.0.1  GET 200  10584B  3.0ms  target=/js/fleet.js  from=/js/hud.js
2026-09-26T00:12:48.942Z  127.0.0.1  GET 200  17339B  2.5ms  target=/js/tutorial.js  from=/js/hud.js
2026-09-26T00:12:48.942Z  127.0.0.1  GET 200  8765B  0.6ms  target=/js/ui/chatbox.js  from=/js/hud.js
2026-09-26T00:12:48.944Z  127.0.0.1  GET 200  6493B  0.8ms  target=/js/scale.js  from=/js/bodies.js
2026-09-26T00:12:48.945Z  127.0.0.1  GET 200  11573B  1.4ms  target=/js/archetypes.js  from=/js/bodies.js
2026-09-26T00:12:48.946Z  127.0.0.1  GET 200  22405B  1.4ms  target=/js/materials.js  from=/js/bodies.js
2026-09-26T00:12:48.946Z  127.0.0.1  GET 200  14168B  1.1ms  target=/js/genome/behavior-graph.js  from=/js/crew/deckmind.js
2026-09-26T00:12:48.947Z  127.0.0.1  GET 200  28156B  1.2ms  target=/js/crew/deckgraph.js  from=/js/crew/deckmind.js
2026-09-26T00:12:48.947Z  127.0.0.1  GET 200  25582B  1.2ms  target=/js/genome/spacer.js  from=/js/crew/deckmind.js
2026-09-26T00:12:48.949Z  127.0.0.1  GET 200  18247B  1.6ms  target=/js/crew.js  from=/js/crew/deckmind.js
2026-09-26T00:12:48.949Z  127.0.0.1  GET 200  5981B  1.3ms  target=/js/crew/bonds.js  from=/js/crew/deckmind.js
2026-09-26T00:12:48.950Z  127.0.0.1  GET 200  7489B  1.4ms  target=/js/crew/hull.js  from=/js/crew/deckmind.js
2026-09-26T00:12:48.952Z  127.0.0.1  GET 200  20474B  1.7ms  target=/js/crew/romance.js  from=/js/crew/deckmind.js
2026-09-26T00:12:48.953Z  127.0.0.1  GET 200  11858B  2.4ms  target=/js/crew/learn.js  from=/js/crew/deckmind.js
2026-09-26T00:12:48.953Z  127.0.0.1  GET 200  20843B  1.3ms  target=/js/crew/deckacts.js  from=/js/crew/deckmind.js
2026-09-26T00:12:48.953Z  127.0.0.1  GET 200  7389B  3.2ms  target=/js/crew/journal.js  from=/js/crew/deckmind.js
2026-09-26T00:12:48.954Z  127.0.0.1  GET 200  1912B  1.7ms  target=/js/crew/hooks.js  from=/js/addon-loader.js
2026-09-26T00:12:48.954Z  127.0.0.1  GET 200  11B  1.2ms  target=/js/controls-test.js  from=/js/engine.js
2026-09-26T00:12:48.955Z  127.0.0.1  GET 200  16591B  1.0ms  target=/js/textures.js  from=/js/engine.js
2026-09-26T00:12:48.957Z  127.0.0.1  GET 200  365552B  3.3ms  target=/vendor/three.module.min.js  from=/js/engine.js
2026-09-26T00:12:48.957Z  127.0.0.1  GET 200  20518B  2.1ms  target=/js/rockgen.js  from=/js/engine.js
